"","x"
"252",0.05469612
"253",0.05495122
"254",0.05527213
"255",0.05570269
"256",0.05612539
"257",0.05647947
"258",0.05670621
"259",0.05681416
"260",0.05669322
"261",0.05649245
"262",0.05631105
"263",0.05610171
"264",0.05584812
"265",0.05562047
"266",0.05546805
"267",0.05536716
"268",0.05544775
"269",0.05546119
"270",0.05543905
"271",0.05561599
"272",0.05576086
"273",0.0558647
"274",0.05604395
"275",0.05622588
"276",0.05639593
"277",0.05662832
"278",0.05684188
"279",0.05709492
"280",0.05726206
"281",0.05752389
"282",0.05793523
"283",0.05841384
"284",0.05880322
"285",0.05925724
"286",0.0598269
"287",0.06034046
"288",0.06077788
"289",0.06130863
"290",0.06187702
"291",0.06236788
"292",0.06293245
"293",0.06356403
"294",0.06408411
"295",0.06453992
"296",0.06499324
"297",0.06553858
"298",0.06607121
"299",0.06654305
"300",0.06715171
"301",0.06790443
"302",0.0686895
"303",0.06947736
"304",0.07029088
"305",0.07103365
"306",0.07167056
"307",0.0722501
"308",0.0725086
"309",0.07258476
"310",0.07262322
"311",0.07277278
"312",0.07299376
"313",0.07331935
"314",0.07372319
"315",0.07405376
"316",0.07442416
"317",0.07476407
"318",0.0750711
"319",0.0754303
"320",0.07583275
"321",0.07632852
"322",0.07692214
"323",0.07742236
"324",0.07789223
"325",0.07845207
"326",0.07899881
"327",0.07952172
"328",0.07995682
"329",0.08032351
"330",0.08049504
"331",0.08046278
"332",0.08024921
"333",0.07989529
"334",0.0793518
"335",0.07890141
"336",0.07860071
"337",0.07829055
"338",0.07798751
"339",0.0777476
"340",0.0773866
"341",0.07687365
"342",0.07627247
"343",0.07568127
"344",0.07507993
"345",0.07452622
"346",0.07397734
"347",0.07333618
"348",0.07268808
"349",0.07208323
"350",0.07153264
"351",0.07107899
"352",0.07062376
"353",0.07005067
"354",0.06946826
"355",0.06896383
"356",0.06853126
"357",0.06825247
"358",0.06807194
"359",0.06791873
"360",0.06778667
"361",0.06766732
"362",0.06755636
"363",0.06752268
"364",0.06752439
"365",0.0674808
"366",0.06740232
"367",0.06725812
"368",0.06695803
"369",0.06657743
"370",0.06608599
"371",0.06552085
"372",0.06480802
"373",0.06417993
"374",0.06367972
"375",0.06322597
"376",0.06272824
"377",0.06225758
"378",0.06174816
"379",0.06126128
"380",0.06076793
"381",0.06026219
"382",0.05986896
"383",0.05956185
"384",0.05930695
"385",0.05920586
"386",0.05924216
"387",0.0594249
"388",0.05959788
"389",0.05988269
"390",0.06024807
"391",0.0606157
"392",0.06095677
"393",0.06134183
"394",0.06165272
"395",0.06186338
"396",0.06192417
"397",0.06184676
"398",0.0616843
"399",0.06128035
"400",0.0607523
"401",0.06009862
"402",0.05939326
"403",0.05874582
"404",0.05816242
"405",0.05763742
"406",0.0571445
"407",0.0567448
"408",0.05650034
"409",0.05629077
"410",0.0561251
"411",0.05610388
"412",0.05614002
"413",0.05622717
"414",0.05640683
"415",0.05655299
"416",0.0566782
"417",0.05677745
"418",0.05684243
"419",0.05680613
"420",0.0567125
"421",0.05671037
"422",0.05671258
"423",0.05677786
"424",0.05688309
"425",0.05694905
"426",0.05712123
"427",0.05732106
"428",0.05758819
"429",0.05784025
"430",0.05811132
"431",0.05835427
"432",0.05859713
"433",0.05886249
"434",0.05907544
"435",0.05925215
"436",0.05939261
"437",0.05954698
"438",0.05969016
"439",0.05972431
"440",0.05972822
"441",0.05974565
"442",0.05970075
"443",0.05967126
"444",0.05959061
"445",0.05944221
"446",0.05932878
"447",0.05919221
"448",0.05902098
"449",0.05887075
"450",0.05870337
"451",0.05854929
"452",0.05842034
"453",0.05827908
"454",0.05813625
"455",0.05800395
"456",0.05790632
"457",0.05780553
"458",0.0577551
"459",0.05770943
"460",0.0576965
"461",0.05761799
"462",0.05754887
"463",0.05757481
"464",0.05762596
"465",0.05766583
"466",0.05780233
"467",0.05795549
"468",0.05807216
"469",0.05820963
"470",0.05838668
"471",0.05860075
"472",0.05882835
"473",0.05902081
"474",0.05916426
"475",0.05930571
"476",0.05939778
"477",0.05942698
"478",0.05936436
"479",0.05929188
"480",0.05920454
"481",0.05907544
"482",0.05897933
"483",0.05896975
"484",0.05894795
"485",0.05894827
"486",0.05902371
"487",0.05900872
"488",0.05893835
"489",0.05891836
"490",0.05892939
"491",0.0589065
"492",0.05891259
"493",0.05901369
"494",0.05914857
"495",0.05927202
"496",0.05933867
"497",0.05943174
"498",0.05958342
"499",0.05969767
"500",0.05980821
"501",0.05993744
"502",0.05998717
"503",0.05999048
"504",0.05998993
"505",0.05993804
"506",0.05981326
"507",0.05967238
"508",0.05951378
"509",0.05930595
"510",0.05907149
"511",0.05888143
"512",0.05871448
"513",0.05853149
"514",0.05838113
"515",0.05825098
"516",0.05817799
"517",0.05819312
"518",0.05819051
"519",0.05819314
"520",0.05817534
"521",0.05818653
"522",0.05824543
"523",0.05830314
"524",0.05835196
"525",0.05847486
"526",0.05862637
"527",0.05877002
"528",0.05892103
"529",0.05905383
"530",0.05913714
"531",0.05923795
"532",0.05933622
"533",0.05938449
"534",0.0593655
"535",0.05933741
"536",0.05930908
"537",0.05920966
"538",0.05910091
"539",0.05901706
"540",0.05892166
"541",0.05880297
"542",0.05871157
"543",0.05867603
"544",0.05864819
"545",0.05862401
"546",0.05863105
"547",0.05863453
"548",0.05859638
"549",0.05851887
"550",0.0584866
"551",0.05850979
"552",0.05857198
"553",0.05855624
"554",0.05839493
"555",0.05813781
"556",0.05783052
"557",0.05758164
"558",0.05728333
"559",0.05692532
"560",0.05663276
"561",0.05648877
"562",0.05641085
"563",0.05638742
"564",0.05640862
"565",0.05646762
"566",0.05653282
"567",0.05657215
"568",0.05663533
"569",0.05666894
"570",0.05669709
"571",0.05679212
"572",0.05684611
"573",0.05687932
"574",0.05695373
"575",0.05703656
"576",0.05712363
"577",0.05721736
"578",0.0572951
"579",0.05739171
"580",0.05744916
"581",0.05740603
"582",0.05730016
"583",0.05721546
"584",0.05713123
"585",0.05709726
"586",0.05707081
"587",0.05703092
"588",0.057032
"589",0.05704726
"590",0.05704181
"591",0.05701442
"592",0.05702996
"593",0.05707917
"594",0.05711768
"595",0.05714987
"596",0.05716434
"597",0.05718429
"598",0.05720251
"599",0.0572318
"600",0.05724475
"601",0.05727045
"602",0.05733334
"603",0.05733543
"604",0.05741792
"605",0.05750618
"606",0.05752799
"607",0.0575798
"608",0.05769476
"609",0.05781629
"610",0.05793691
"611",0.05801278
"612",0.05816707
"613",0.05833025
"614",0.05846665
"615",0.05861815
"616",0.05882001
"617",0.05897568
"618",0.05911812
"619",0.05925068
"620",0.05933781
"621",0.05941353
"622",0.05951088
"623",0.05958374
"624",0.05965134
"625",0.05968703
"626",0.05966277
"627",0.05970972
"628",0.05975317
"629",0.05975675
"630",0.05980838
"631",0.05989661
"632",0.05994766
"633",0.06004518
"634",0.06011065
"635",0.06014303
"636",0.06020829
"637",0.06023785
"638",0.06022067
"639",0.06020186
"640",0.06017441
"641",0.06013498
"642",0.06011872
"643",0.06010076
"644",0.06004381
"645",0.06002318
"646",0.06001932
"647",0.05999273
"648",0.0600373
"649",0.06001609
"650",0.05995361
"651",0.05993256
"652",0.05991334
"653",0.05985871
"654",0.05971611
"655",0.05955101
"656",0.05943999
"657",0.05930499
"658",0.05914006
"659",0.05902387
"660",0.05889366
"661",0.05882161
"662",0.0587297
"663",0.05864263
"664",0.0585755
"665",0.05853233
"666",0.05851215
"667",0.05845065
"668",0.05838999
"669",0.05835626
"670",0.05828124
"671",0.05830002
"672",0.05832169
"673",0.05830881
"674",0.05826408
"675",0.05824292
"676",0.05826746
"677",0.05832248
"678",0.05843648
"679",0.05851134
"680",0.05861392
"681",0.05872959
"682",0.05884281
"683",0.05901151
"684",0.05914854
"685",0.05930396
"686",0.05948962
"687",0.05965891
"688",0.05983067
"689",0.06004406
"690",0.06027975
"691",0.06041274
"692",0.06049391
"693",0.06048194
"694",0.060264
"695",0.05993677
"696",0.05947107
"697",0.05901064
"698",0.05860794
"699",0.05824125
"700",0.05792628
"701",0.05768745
"702",0.05749354
"703",0.057325
"704",0.05719664
"705",0.05711635
"706",0.05702344
"707",0.05690711
"708",0.05683058
"709",0.05684526
"710",0.05683492
"711",0.05677817
"712",0.0567959
"713",0.05675565
"714",0.05668556
"715",0.0566484
"716",0.05666005
"717",0.05675365
"718",0.05680219
"719",0.05676274
"720",0.05678495
"721",0.05685027
"722",0.05683624
"723",0.05681815
"724",0.05682857
"725",0.05683892
"726",0.05688058
"727",0.05691521
"728",0.05693666
"729",0.05699297
"730",0.05696658
"731",0.05696319
"732",0.05700415
"733",0.05698149
"734",0.05696752
"735",0.05689146
"736",0.05691009
"737",0.05694258
"738",0.05689637
"739",0.05690602
"740",0.05684976
"741",0.05687096
"742",0.05696561
"743",0.05702202
"744",0.0569467
"745",0.05688748
"746",0.05699933
"747",0.05703047
"748",0.05700114
"749",0.05693737
"750",0.05697158
"751",0.05690452
"752",0.05688309
"753",0.0569555
"754",0.056988
"755",0.05697175
"756",0.05699376
"757",0.05702669
"758",0.05698569
"759",0.05684255
"760",0.05693342
"761",0.0570351
"762",0.0568504
"763",0.05675613
"764",0.05671465
"765",0.05685433
"766",0.05694377
"767",0.05688231
"768",0.05695657
"769",0.0571025
"770",0.05703076
"771",0.05698578
"772",0.05703684
"773",0.05705928
"774",0.05708629
"775",0.0569828
"776",0.05685429
"777",0.05678604
"778",0.05681441
"779",0.05694794
"780",0.05692754
"781",0.05675711
"782",0.05670335
"783",0.05661568
"784",0.05657309
"785",0.05666301
"786",0.05677075
"787",0.05659098
"788",0.05622631
"789",0.05639503
"790",0.05635353
"791",0.05610106
"792",0.05613577
"793",0.05629311
"794",0.05635824
"795",0.05627888
"796",0.05630716
"797",0.05605872
"798",0.0559121
"799",0.05564906
"800",0.05522924
"801",0.05493142
"802",0.05483794
"803",0.0551146
"804",0.05495908
"805",0.05458247
"806",0.05428254
"807",0.0543915
"808",0.05421053
"809",0.05368372
"810",0.05358758
"811",0.05304933
"812",0.05290363
"813",0.05290563
"814",0.05172114
"815",0.05114092
"816",0.0509516
"817",0.04986936
"818",0.04942663
"819",0.04993415
"820",0.04995251
"821",0.05052009
"822",0.0510246
"823",0.05144206
"824",0.05172781
"825",0.05212479
"826",0.05273546
"827",0.05265947
"828",0.05194782
"829",0.05136123
"830",0.051133
"831",0.05140118
"832",0.05130257
"833",0.05067446
"834",0.04963434
"835",0.04894733
"836",0.04804839
"837",0.04789209
"838",0.04759893
"839",0.0489107
"840",0.04912838
"841",0.04908512
"842",0.04877372
"843",0.04824658
"844",0.04724002
"845",0.04703761
"846",0.04711915
"847",0.04714587
"848",0.0467761
"849",0.04698111
"850",0.04762006
"851",0.04783871
"852",0.0477297
"853",0.04856376
"854",0.04947693
"855",0.05019453
"856",0.05004311
"857",0.05045512
"858",0.05155561
"859",0.05204252
"860",0.05248969
"861",0.05263302
"862",0.05244424
"863",0.05279684
"864",0.05285429
"865",0.05253468
"866",0.05275703
"867",0.05315667
"868",0.05358143
"869",0.05384929
"870",0.05402549
"871",0.0543876
"872",0.05459817
"873",0.05461909
"874",0.05496975
"875",0.05513915
"876",0.05518536
"877",0.05540428
"878",0.05538989
"879",0.05530547
"880",0.0554022
"881",0.05517824
"882",0.05516008
"883",0.05546123
"884",0.05561524
"885",0.05572047
"886",0.05591508
"887",0.05585588
"888",0.05582558
"889",0.05595608
"890",0.0562054
"891",0.05615774
"892",0.05593762
"893",0.05595258
"894",0.05621133
"895",0.05593769
"896",0.05584367
"897",0.05593374
"898",0.05560386
"899",0.05556176
"900",0.0549731
"901",0.05458031
"902",0.05474344
"903",0.0539755
"904",0.05375291
"905",0.05356958
"906",0.05315056
"907",0.05330503
"908",0.05235459
"909",0.05162019
"910",0.05160538
"911",0.05162086
"912",0.04927377
"913",0.04689149
"914",0.04571416
"915",0.04663149
"916",0.04758067
"917",0.04840985
"918",0.04898496
"919",0.05049043
"920",0.05062507
"921",0.05028756
"922",0.05023968
"923",0.05122069
"924",0.05166945
"925",0.0514892
"926",0.05135399
"927",0.05123075
"928",0.05125524
"929",0.05153303
"930",0.0519782
"931",0.05204491
"932",0.0526712
"933",0.05338505
"934",0.05379139
"935",0.05404919
"936",0.05398566
"937",0.05320307
"938",0.05322363
"939",0.05369232
"940",0.05373402
"941",0.0540445
"942",0.05385973
"943",0.05364444
"944",0.05382582
"945",0.0539104
"946",0.05401346
"947",0.05443204
"948",0.05423013
"949",0.05403677
"950",0.05430924
"951",0.05446888
"952",0.05455925
"953",0.05489219
"954",0.05513605
"955",0.05488654
"956",0.05468017
"957",0.05520883
"958",0.0556788
"959",0.05576782
"960",0.05554032
"961",0.05557946
"962",0.05574224
"963",0.05589477
"964",0.05610982
"965",0.05647011
"966",0.05671025
"967",0.05648451
"968",0.05637677
"969",0.05652262
"970",0.05684589
"971",0.05665984
"972",0.05667686
"973",0.05694026
"974",0.05728109
"975",0.05775771
"976",0.05784119
"977",0.05786006
"978",0.05808112
"979",0.05830216
"980",0.05825173
"981",0.05837083
"982",0.05858009
"983",0.05860449
"984",0.05865285
"985",0.0585862
"986",0.05880695
"987",0.05901649
"988",0.05903412
"989",0.059007
"990",0.05921012
"991",0.05932528
"992",0.05942189
"993",0.05939771
"994",0.05955792
"995",0.05960207
"996",0.05970021
"997",0.05987352
"998",0.06016678
"999",0.06037262
"1000",0.06085764
"1001",0.06098138
"1002",0.0608422
"1003",0.0607763
"1004",0.06074211
"1005",0.06080308
"1006",0.0606642
"1007",0.06079646
"1008",0.06052031
"1009",0.06049033
"1010",0.0603212
"1011",0.06017542
"1012",0.05992015
"1013",0.05990063
"1014",0.05970106
"1015",0.05936854
"1016",0.05926108
"1017",0.05932986
"1018",0.05945342
"1019",0.05960212
"1020",0.05940329
"1021",0.05926703
"1022",0.05916259
"1023",0.05930277
"1024",0.05957332
"1025",0.05982047
"1026",0.05986631
"1027",0.05970301
"1028",0.05973097
"1029",0.05974506
"1030",0.05975809
"1031",0.05975146
"1032",0.05982986
"1033",0.05972773
"1034",0.05974882
"1035",0.05975537
"1036",0.05974891
"1037",0.05972977
"1038",0.05970431
"1039",0.05969021
"1040",0.05976857
"1041",0.05977473
"1042",0.05982941
"1043",0.05977077
"1044",0.0598741
"1045",0.06005242
"1046",0.0600296
"1047",0.06002237
"1048",0.05999018
"1049",0.06010067
"1050",0.06007697
"1051",0.06005695
"1052",0.06008861
"1053",0.0601493
"1054",0.06011395
"1055",0.06014067
"1056",0.06010771
"1057",0.05997105
"1058",0.05994636
"1059",0.05989581
"1060",0.05985002
"1061",0.05991662
"1062",0.05999269
"1063",0.05994069
"1064",0.05988124
"1065",0.05996523
"1066",0.06007819
"1067",0.06017667
"1068",0.0602102
"1069",0.06021987
"1070",0.06010429
"1071",0.06010733
"1072",0.06023989
"1073",0.06035843
"1074",0.06037351
"1075",0.06034431
"1076",0.0604178
"1077",0.06046894
"1078",0.06033529
"1079",0.06019318
"1080",0.06027358
"1081",0.06032367
"1082",0.06043543
"1083",0.06045858
"1084",0.0603346
"1085",0.06022463
"1086",0.06022729
"1087",0.06041639
"1088",0.0604531
"1089",0.06036236
"1090",0.06031461
"1091",0.06036628
"1092",0.06045569
"1093",0.06036038
"1094",0.06027963
"1095",0.0604216
"1096",0.06038928
"1097",0.06043242
"1098",0.06054287
"1099",0.06052466
"1100",0.06048524
"1101",0.06053552
"1102",0.06064576
"1103",0.06062984
"1104",0.06059147
"1105",0.06052851
"1106",0.06054717
"1107",0.06063914
"1108",0.06060839
"1109",0.06058203
"1110",0.06066417
"1111",0.06069895
"1112",0.06053369
"1113",0.06056691
"1114",0.060653
"1115",0.06056397
"1116",0.0604403
"1117",0.06047599
"1118",0.06054405
"1119",0.0605983
"1120",0.0605186
"1121",0.06044921
"1122",0.06045283
"1123",0.06047012
"1124",0.06037268
"1125",0.0604098
"1126",0.0604571
"1127",0.0604619
"1128",0.06038018
"1129",0.06035143
"1130",0.06036201
"1131",0.060436
"1132",0.06049255
"1133",0.06038208
"1134",0.06031507
"1135",0.06031366
"1136",0.06040915
"1137",0.06044205
"1138",0.06035428
"1139",0.06033399
"1140",0.06036887
"1141",0.06028039
"1142",0.060149
"1143",0.06021336
"1144",0.06035181
"1145",0.0603247
"1146",0.06025112
"1147",0.06024019
"1148",0.06026573
"1149",0.06031663
"1150",0.06031511
"1151",0.06035265
"1152",0.06046582
"1153",0.06054169
"1154",0.06053392
"1155",0.06047184
"1156",0.06040683
"1157",0.06043455
"1158",0.0604689
"1159",0.06042203
"1160",0.06047081
"1161",0.06064146
"1162",0.06074491
"1163",0.06078908
"1164",0.06081157
"1165",0.06080326
"1166",0.0607991
"1167",0.060861
"1168",0.06094003
"1169",0.0610227
"1170",0.06110255
"1171",0.06116812
"1172",0.06117414
"1173",0.06117922
"1174",0.0612467
"1175",0.06132496
"1176",0.06136999
"1177",0.06136724
"1178",0.06135625
"1179",0.06131992
"1180",0.06139671
"1181",0.06142159
"1182",0.06140648
"1183",0.06143739
"1184",0.06145553
"1185",0.06148202
"1186",0.06153264
"1187",0.06154619
"1188",0.06156818
"1189",0.06156765
"1190",0.06155569
"1191",0.06159136
"1192",0.0616229
"1193",0.06164837
"1194",0.06166288
"1195",0.06166517
"1196",0.06169045
"1197",0.06171879
"1198",0.06172601
"1199",0.06171654
"1200",0.06170015
"1201",0.06172861
"1202",0.0617668
"1203",0.06175439
"1204",0.06172841
"1205",0.06179186
"1206",0.06183266
"1207",0.06182472
"1208",0.0617901
"1209",0.06182059
"1210",0.06186682
"1211",0.06185299
"1212",0.06187568
"1213",0.0618813
"1214",0.06188795
"1215",0.06186177
"1216",0.06186827
"1217",0.06189643
"1218",0.06191859
"1219",0.06193965
"1220",0.06199869
"1221",0.06202189
"1222",0.06196811
"1223",0.06194935
"1224",0.06193709
"1225",0.06195745
"1226",0.06196032
"1227",0.06198787
"1228",0.06197897
"1229",0.06201501
"1230",0.06205667
"1231",0.06201199
"1232",0.06202865
"1233",0.06204203
"1234",0.06204983
"1235",0.06205965
"1236",0.06210143
"1237",0.06215392
"1238",0.06216585
"1239",0.0621878
"1240",0.06218875
"1241",0.06216233
"1242",0.06215717
"1243",0.06218718
"1244",0.06223858
"1245",0.06224217
"1246",0.06227162
"1247",0.06229227
"1248",0.06234417
"1249",0.06234184
"1250",0.06232191
"1251",0.06239428
"1252",0.06244145
"1253",0.06247603
"1254",0.06249941
"1255",0.06248013
"1256",0.06251001
"1257",0.06258352
"1258",0.06264655
"1259",0.06270799
"1260",0.06273429
"1261",0.06277269
"1262",0.0628729
"1263",0.06297795
"1264",0.06305151
"1265",0.06319328
"1266",0.06332613
"1267",0.06352909
"1268",0.06383023
"1269",0.06429023
"1270",0.06486019
"1271",0.06540177
"1272",0.06551792
"1273",0.06529624
"1274",0.06501125
"1275",0.06476417
"1276",0.06449851
"1277",0.06431144
"1278",0.06418282
"1279",0.06407132
"1280",0.06397917
"1281",0.06390162
"1282",0.06386781
"1283",0.06385456
"1284",0.06385809
"1285",0.06383783
"1286",0.06382758
"1287",0.0639075
"1288",0.06401418
"1289",0.06400079
"1290",0.06404386
"1291",0.06411894
"1292",0.06416495
"1293",0.06420037
"1294",0.06432553
"1295",0.06440785
"1296",0.06446711
"1297",0.06445312
"1298",0.06446527
"1299",0.06454737
"1300",0.06464807
"1301",0.0648168
"1302",0.06498881
"1303",0.06517873
"1304",0.0655491
"1305",0.06607476
"1306",0.06646898
"1307",0.06659859
"1308",0.0665205
"1309",0.06617095
"1310",0.06582341
"1311",0.06553788
"1312",0.06521534
"1313",0.06490697
"1314",0.06467702
"1315",0.0644668
"1316",0.06418246
"1317",0.06399106
"1318",0.06381739
"1319",0.06359108
"1320",0.06336994
"1321",0.06324703
"1322",0.06306155
"1323",0.06293003
"1324",0.06283858
"1325",0.06270035
"1326",0.06256569
"1327",0.06249081
"1328",0.062354
"1329",0.06225102
"1330",0.06219031
"1331",0.06208693
"1332",0.06194374
"1333",0.06186701
"1334",0.06187168
"1335",0.06182917
"1336",0.06173588
"1337",0.06164077
"1338",0.0616257
"1339",0.06160049
"1340",0.06154549
"1341",0.06152648
"1342",0.06153078
"1343",0.06153902
"1344",0.06149078
"1345",0.06150534
"1346",0.06149126
"1347",0.06143716
"1348",0.0613921
"1349",0.06139436
"1350",0.06141977
"1351",0.06138989
"1352",0.0612781
"1353",0.06124549
"1354",0.06131488
"1355",0.06142618
"1356",0.06146725
"1357",0.06142778
"1358",0.06142329
"1359",0.0614958
"1360",0.0614668
"1361",0.0614371
"1362",0.06149368
"1363",0.06150324
"1364",0.06148246
"1365",0.06148931
"1366",0.06148812
"1367",0.0615294
"1368",0.06156358
"1369",0.06153608
"1370",0.0614908
"1371",0.06151429
"1372",0.0615671
"1373",0.06160836
"1374",0.06164171
"1375",0.06157661
"1376",0.06157704
"1377",0.06166691
"1378",0.06171789
"1379",0.06172462
"1380",0.06174247
"1381",0.06180339
"1382",0.06182219
"1383",0.06179164
"1384",0.06180071
"1385",0.06187915
"1386",0.06189108
"1387",0.06181627
"1388",0.06188816
"1389",0.06196271
"1390",0.06192646
"1391",0.06197729
"1392",0.06206018
"1393",0.06206012
"1394",0.06204341
"1395",0.06203281
"1396",0.06207411
"1397",0.06209436
"1398",0.06211862
"1399",0.06215012
"1400",0.06216414
"1401",0.06215152
"1402",0.06215297
"1403",0.06217523
"1404",0.06218256
"1405",0.0621626
"1406",0.06217095
"1407",0.06222659
"1408",0.06227516
"1409",0.06226794
"1410",0.06226912
"1411",0.06230608
"1412",0.06234449
"1413",0.06233389
"1414",0.06239699
"1415",0.06242477
"1416",0.06241509
"1417",0.0623891
"1418",0.06242902
"1419",0.06248476
"1420",0.0625459
"1421",0.06261173
"1422",0.06266905
"1423",0.06267618
"1424",0.06269234
"1425",0.06267352
"1426",0.06275758
"1427",0.0628572
"1428",0.06283321
"1429",0.06279773
"1430",0.06276686
"1431",0.06284177
"1432",0.06289415
"1433",0.0629336
"1434",0.0629657
"1435",0.06295605
"1436",0.06303485
"1437",0.06307726
"1438",0.0630791
"1439",0.06302585
"1440",0.06308658
"1441",0.06318518
"1442",0.06322465
"1443",0.06334448
"1444",0.06330934
"1445",0.06327153
"1446",0.06328069
"1447",0.063369
"1448",0.063387
"1449",0.06340832
"1450",0.0634334
"1451",0.06352695
"1452",0.06357283
"1453",0.06363671
"1454",0.06370179
"1455",0.0636462
"1456",0.06360868
"1457",0.0636878
"1458",0.06377823
"1459",0.06379929
"1460",0.06368925
"1461",0.06379256
"1462",0.06395237
"1463",0.06390778
"1464",0.06385574
"1465",0.06393815
"1466",0.06399248
"1467",0.06405278
"1468",0.06399312
"1469",0.06397642
"1470",0.06405694
"1471",0.06413484
"1472",0.06421294
"1473",0.06427283
"1474",0.06428978
"1475",0.06435732
"1476",0.06438018
"1477",0.06436832
"1478",0.06438588
"1479",0.06445985
"1480",0.06450336
"1481",0.06453154
"1482",0.06457108
"1483",0.06456584
"1484",0.06462753
"1485",0.06473654
"1486",0.06470548
"1487",0.06457036
"1488",0.06462768
"1489",0.06472793
"1490",0.06473233
"1491",0.0647827
"1492",0.06481513
"1493",0.06476787
"1494",0.06463909
"1495",0.06464195
"1496",0.0646876
"1497",0.06472441
"1498",0.06475027
"1499",0.0647509
"1500",0.06470762
